title,source,lang,url,date,resume,category,credibility
Uzbekistan U191-10:00130-03Japan U19,Hesport,ar,https://www.hesport.com/sports/match/uzbekistan-u19-vs-japan-u19-10027246,10:00,,,0
Slovakia U181-10:00130-03Serbia U18,Hesport,ar,https://www.hesport.com/sports/match/slovakia-u18-vs-serbia-u18-10027247,10:00,,,0
الإمارات13:0030-03جزر فارو,Hesport,ar,https://www.hesport.com/sports/match/%d8%a7%d9%84%d8%a5%d9%85%d8%a7%d8%b1%d8%a7%d8%aa-vs-%d8%ac%d8%b2%d8%b1-%d9%81%d8%a7%d8%b1%d9%88-10026688,13:00,,,0
روسيا (تحت 21)13:0030-03Jordan U23,Hesport,ar,https://www.hesport.com/sports/match/%d8%b1%d9%88%d8%b3%d9%8a%d8%a7-%d8%aa%d8%ad%d8%aa-21-vs-jordan-u23-10027248,13:00,,,0
Tunisia U200-30'0'30                                                                                    (1H)Mauritania U20,Hesport,ar,https://www.hesport.com/sports/match/tunisia-u20-vs-mauritania-u20-10027250,2026-03-30,,,0
Albania U2114:3030-03ازبكستان تحت ال٢٣,Hesport,ar,https://www.hesport.com/sports/match/albania-u21-vs-%d8%a7%d8%b2%d8%a8%d9%83%d8%b3%d8%aa%d8%a7%d9%86-%d8%aa%d8%ad%d8%aa-%d8%a7%d9%84%d9%a2%d9%a3-10027249,14:30,,,0
ODD Ballklubb15:0030-03لون أسلو,Hesport,ar,https://www.hesport.com/sports/match/odd-ballklubb-vs-%d9%84%d9%88%d9%86-%d8%a3%d8%b3%d9%84%d9%88-10022996,15:00,,,0
Stabæk II15:1530-03موس أف.كي.,Hesport,ar,https://www.hesport.com/sports/match/stabaek-ii-vs-%d9%85%d9%88%d8%b3-%d8%a3%d9%81-%d9%83%d9%8a-10022997,15:15,,,0
Kyrgyzstan U2016:0030-03Bosnia-Herzegovina U17,Hesport,ar,https://www.hesport.com/sports/match/kyrgyzstan-u20-vs-bosnia-herzegovina-u17-10027251,16:00,,,0
Mexico U2016:0030-03Costa Rica U20,Hesport,ar,https://www.hesport.com/sports/match/mexico-u20-vs-costa-rica-u20-10027252,16:00,,,0
ساندنيس17:0030-03هاوجيسوند,Hesport,ar,https://www.hesport.com/sports/match/%d8%b3%d8%a7%d9%86%d8%af%d9%86%d9%8a%d8%b3-vs-%d9%87%d8%a7%d9%88%d8%ac%d9%8a%d8%b3%d9%88%d9%86%d8%af-10022985,17:00,,,0
