title,source,lang,url,date,summary,category,credibility,image_url,image_caption
Les articles populaires,Le360 Sport,ar,https://sport.le360.ma/coupe-du-monde/mondial-2026-le-camp-de-base-des-lions-de-latlas-devoile_TDWFA55DJ5H2FPE5KA6IG73Q6E/,2026-05-06,"Pingry School, camp de base de la sélection nationale aux États-Unis.",Football,0,https://sport.le360.ma/resizer/v2/UMOW7F2TVZBD3M3TPOB56XJRPE.webp?auth=5a23c32be1e74af7d0341a263b0d255a09248466ee75b852dc09d6d89e21e817&smart=true&width=1200&height=630,"Les Lions de l’Atlas installeront leur camp de base dans le New Jersey durant la Coupe du monde 2026. La sélection nationale effectuera ses entraînements à la Pingry School, située à Basking Ridge, dans le «Garden State»."
Actuellement,Le360 Sport,ar,https://sport.le360.ma/,2026-05-06,"Arsenal a battu mardi l’Atlético Madrid 1-0 (aller 1-1) en demi-finale retour de Ligue des champions et affrontera en finale le vainqueur de la confrontation entre le Bayern Munich et le Paris SG, le 30 mai à Budapest.",Football,0,,
Coupe du monde 2026,Le360 Sport,ar,https://sport.le360.ma/coupe-du-monde,2026-05-06,"Lions de l’Atlas: Chadi Riad va bien, son agent rassure pour le Mondial",Football,0,,
Athlétisme,Le360 Sport,ar,https://sport.le360.ma/athletisme,2026-05-06,Le Marocain Othmane El Goumri remporte le marathon de Hambourg,Athletisme,0,,
Autres sports,Le360 Sport,ar,https://sport.le360.ma/autres-sports,2026-05-06,Casablanca: le kendo célébré lors des 70 ans des relations Maroc–Japon,Combat,0,,
Quand les supporters de Málaga CF adoptent le chant emblématique «Vida loca» du Raja de Casablanca,Le360 Sport,ar,https://sport.le360.ma/football/quand-les-supporters-de-malaga-cf-adoptent-le-chant-emblematique-vida-loca-du-raja-de-casablanca_UYA5W4IRWFA3NCYQX67NWNGVAU/,2026-05-06,"Quand les supporters du Málaga CF reprennent «Vida loca», chant emblématique du Raja. Source: Málaga CF.",Football,0,https://sport.le360.ma/resizer/v2/4ZZRF5ONUNAFTCEDSJWRUU7IUA.jpg?auth=e557e5547b640818c0550fface58d66ddd9ca6be1c38153893ffeb7cb6855aee&smart=true&width=1200&height=630,"À Málaga, il suffit de quelques notes pour faire le lien. Dans les tribunes de La Rosaleda, un chant familier s’élève: «C’est la vida loca». Un air venu tout droit de la Curva Sud du Raja de Casablanca, désormais repris par les supporters de Málaga CF, à chaque match."
Mondial 2026: le camp de base des Lions de l’Atlas dévoilé,Le360 Sport,ar,https://sport.le360.ma/coupe-du-monde/mondial-2026-le-camp-de-base-des-lions-de-latlas-devoile_TDWFA55DJ5H2FPE5KA6IG73Q6E/,2026-05-06,"Pingry School, camp de base de la sélection nationale aux États-Unis.",Football,0,https://sport.le360.ma/resizer/v2/UMOW7F2TVZBD3M3TPOB56XJRPE.webp?auth=5a23c32be1e74af7d0341a263b0d255a09248466ee75b852dc09d6d89e21e817&smart=true&width=1200&height=630,"Les Lions de l’Atlas installeront leur camp de base dans le New Jersey durant la Coupe du monde 2026. La sélection nationale effectuera ses entraînements à la Pingry School, située à Basking Ridge, dans le «Garden State»."
Ligue des Champions de la CAF,Le360 Sport,ar,https://sport.le360.ma/football/ligue-des-champions-caf/,2026-05-06,Saisissez votre adresse email pour recevoir la newsletter Le360 Sport,Football,0,,
"Ndala arbitre de la finale Mamelodi Sundowns-AS FAR: «Une honte pour le football africain», selon un membre du Comex de la CAF",Le360 Sport,ar,https://sport.le360.ma/football/ligue-des-champions-caf/ndala-arbitre-de-la-finale-mamelodi-sundowns-as-far-une-honte-pour-le-football-africain-selon-un_EFGLA6RKSBGDHLC3REXHVAKLKM/,2026-05-06,"À en croire le média britannique The Guardian, la désignation de Jean-Jacques Ndala pour diriger la finale aller de la Ligue des Champions, prévue le 17 mai à Pretoria entre le Mamelodi Sundowns et l’AS FAR, ne fait pas l’unanimité au sein de la CAF.",Football,0,https://sport.le360.ma/resizer/v2/OYII42VOYZFGJKIZRW4VZVIDG4.webp?auth=dc5f19249063f286e6fee53ac98e7e332f423a3f673e5aca80b7433b17d81e9d&smart=true&width=1200&height=630,La nomination de l’arbitre congolais Jean-Jacques Ndala pour la finale aller de la Ligue des champions entre Mamelodi Sundowns et l’AS FAR suscite une vive contestation en interne au sein de la Confédération africaine de football
Ligue des Champions de l'UEFA,Le360 Sport,ar,https://sport.le360.ma/football/ligue-des-champions-uefa/,2026-05-06,Saisissez votre adresse email pour recevoir la newsletter Le360 Sport,Football,0,,
